verb	sense_num	queries
stand	3	standing tall,  standing accused,  standing empty,  standing corrected
stand	7.1	standing back
stand	7.7	standing still,  person standing still
stand	7.8	standing shelf up,  hair standing up,  standing up,  get up,  arise
swing	1	gate swinging,  swinging about,  swinging from tree,  kids swinging from tree,  play swinging,  swinging across chasm,  car swinging around corner,  move in a curve,  swinging partner around,  swinging back and forth
swing	2	hanging lightbulb,  hanging chime,  swinging bulb,  swinging
swing	7	sweeping arm movement,  sweeping arm,  hit with arm movement,  arm movement,  swinging at,  swinging at referee
climb	1	climbing ladder,  rates climbing,  value climbing,  climbing mountain,  climbing up hill,  spider climbing,  climbing up list,  sales climbing,  clumb up hill,  climbing up waterspout,  climbing upward,  temperature climbing
climb	3	climbing ladder,  climbing on mound,  climbing mountain,  climbing mount,  climbing down ladder,  climbing over me,  climbing boat,  climbing furniture,  climbing down mountain,  climbing on board,  climbing on back,  climbing horse,  climbing over furniture,  climbing down from stand,  baby climbing on furniture,  climbing in boat,  climbing on bandwagon
climb	2	climbing path,  riad climbing,  path climbing,  path meander,  climbing trail,  train climbing
feed	1	feeing kids,  feeing animals,  feeing guests,  serving food to guests,  person feeding kids,  feeing chicken,  preson feeding animal
feed	2	feeing information,  feeing logs,  feeing data,  throw logs into fire,  feeing images,  feeing carrots,  feeing lines
feed	5	dog eat,  dog feeing,  eat,  dog fed meat,  pigs fed at trough,  pig eat,  pig feeing
feed	6	road feeing into freeway,  road feeds into freeway,  river feeds into lake
point	1	pointing the way,  pointing,  pointing to gun,  pointing direction sign,  pointing finger,  pointing towards something
point	3	highlight text,  mark text,  underline text
point	2	pointing dart,  person pointing gun,  pointing horse,  pointing ship,  gun pointing,  pointing mouth,  person throwing darts,  pointing into wind,  pointing criticism
point	5	pointing walls,  pointing bricks,  person repairing chimney bricks,  person repairing bricks,  repair bricks,  pointing chimney
point	4	pointing toes,  pointing tip,  pointing brush,  shape into a pointing,  ballerina on pointe
float	1	floating down river,  floating log,  floating logs,  floating on liquid,  floating boats floating ship,  bottle floating,  floating boats,  floating on river,  clouds floating
float	3	floating across stage,  floating about,  floating around,  ballet dance floating,  move gracefully ballet,  floating around room
float	5	floating wall,  make surface smooth,  floating plaster,  make surface level,  floating out wall,  plastering contractors,  smooth cake batter,  floating surface
walk	10	walking in on person,  walking in on row,  walking in on robbery,  interrupting people
walk	1	walking with limp,  walking the plan,  person walking,  walking tightrope,  walking with crutches,  cross by foot,  walking in park,  people walking,  person walking on rope,  walking park,  walking garden,  amble,  walking miles
walk	2	walking to car,  walking horse,  man walking horse,  walking the dog,  walking dog,  walking to door,  walking cat
walk	4	walking out on children,  walking out,  walking out of shop,  customer walking out,  walking out on husband,  workers strike
walk	6	walking with bases loaded,  baseball walking,  baseball player walking,  walking batter
walk	9	beat up,  abuse,  person abusing wife,  wife abusing husband
wash	1	washing face,  washing off paint,  washing up,  clean washing,  washing dirt,  clean,  washing towels,  washing hands,  washing blood,  cat clean
wash	2	body washing down river,  washing down river,  river washing ravine,  rain washing out game,  Washed Up On Shore,  river washing away bridge,  water washing minerals,  waves washing shore
wash	5	food with drink
wash	4	apply coating of paint,  apply paint,  washing with paint
brush	1	brushing hair,  brushing rub clean,  rub,  crush crumbs from shirt,  groom,  brushing hair from jacket,  brushing suit,  brushing crumbs,  brushing the suit
brush	2	brushing wall,  sweep the floor,  brushing bread with butter,  skirt brushing floor,  brushing sugar on cake,  touch lightly,  brushing elbows with boss
carry	9	carrying boy,  carrying girl,  woman expecting,  carrying to term,  pregnant woman,  carrying twins,  be pregnant
carry	1	person carrying boxes,  carrying argument,  problems carrying over,  carrying war into province,  person carrying books,  person carrying bag,  carrying bags,  sound carrying,  carrying total,  carrying credit,  rifle carrying,  voice carrying,  ambulance carrying athlete,  carrying number,  carrying ball,  carrying plankton,  carrying forward balance,  carrying news,  carrying over budget,  news carrying
carry	3	take care of person,  support,  support weight,  support beams carrying roof,  carrying burden,  carrying weight
carry	2	carrying scars,  payroll carrying,  news carrying press conference,  carrying water,  crime carrying penalty,  opinion carrying weight,  face carrying frustration,  loan carrying interest,  carrying insurance,  carrying cause,  carrying holder,  carrying smile,  restaurant carrying menu,  carrying cane
open	1	someone opening a door,  door opening,  opening door,  hand opening box,  opening hood,  opening browser,  opening file
open	3	path lead to,  opening to terrace,  opening into field
open	5	troops firing with gun,  opening fire,  gun shooting
open	4	unfold wings,  opening arms,  person with opening arms,  unfold arms,  opening wings,  opening up fingers,  bird flying wings
speak	1	people chatting,  speaking with couples,  speaking of man,  speaking of person,  heart speaking,  music speaking,  writer speaking,  speaking in whispers,  children speaking,  people talking,  speaking Spanish,  communicate through speech,  writer talk
speak	2	speaking at conference,  speaking at dinner,  give seminar,  give fromal speech,  speaking in public,  give a formal lecture,  give lecture,  give formal lecture,  give a formal speech
bite	1	dog biting,  crocodile biting,  biting lip,  mosquito biting,  biting piece,  bug biting,  biting off arm,  biting meat
bite	3	biting hand,  wind biting,  biting hands,  mailbox biting,  biting teeth,  insect biting,  that it pains you
bite	2	knife cut,  knife biting,  knife flesh,  knife cake
bite	5	accept bait,  fish biting,  biting bait,  bait fish,  fish biting bait,  accept offer
bite	4	utter sharply,  biting out curse
overlook	3	overlooking work,  supervise children,  manage people at work,  supervise people,  supervise staff,  supervise
overlook	2	overlooking view,  overlooking parking lot,  office overlooking parking lot,  office overlooking view
paint	1	make painting,  make painting art,  artist painting on canvas,  artist painting,  art class painting,  painting chair art
paint	2	man painting ceiling,  painting house,  painting with brightening agent,  man painting wall,  painting room,  painting ceiling,  painting wall,  coat with liquid,  man painting house,  coat with painting,  painting gutters,  painting trim
serve	8	wind with,  wind with wire,  serving wire,  serving yarn,  serving forestays,  wind with yarn,  serving with yarn
serve	5	serving time for robbery,  be in prison,  serving twenty years,  serving prison sentence,  serving full term,  serving in prison,  locked up,  serving time,  locked up in prison,  spend time in prison
serve	4	hand out food,  waiter serving food,  serving meal,  serving meals,  hand out,  dish out food,  serving food,  dish out,  sheriff serving papers,  serving up entertainment,  serving summons,  serving drink
serve	7	serving tennis,  serving ace,  serving table tennis,  tennis serving,  tennis star serving,  serving erratically,  serving volleyball,  serving ball,  serving badminton
serve	6	mate with,  stallion serving mare,  ox mate with cow,  mate with animal,  dog mate with dog,  stallion mate with mare,  stallion mates
lift	1	raise,  lifting bike,  lifting boxes,  lifting book,  lifting eyes,  lifting hand,  people carrying book,  holding bicycles up,  floor is lifting
lift	3	rid of,  fog lifting up,  take away,  fog lifting,  remove
lift	2	plane lifting off,  sales lifting off,  planes lifting off,  flight take off,  plan lifting off
lift	4	shoplifting,  lifting paragraph,  stealing in shop,  lifting money,  lifting cattle,  stealing money,  lifting property,  lifting text
lift	7	lifting potato,  lifting bulb,  digging up beets,  digging potatoes,  lifting beet,  lifting pasta from pot
lift	9	lifting brow,  suture lifting face,  perform cosmetic surgery,  plastic surgery gone wrong,  lifting face,  lifting skin
lift	8	lifting climbers,  lifting food,  Container Lifting Crane,  helicopter lifting something
stick	1	hair sticking,  door sticking,  sticking seal on document,  sticking labels,  stay in place,  adhere,  wallpaper sticking,  sticking about,  sticking around,  sticking seal,  sticking coat,  sticking label on envelope,  sticking to wall,  sticking on problem
stick	2	pierce,  ticket in ticket,  sticking hand out window,  sticking needle,  sticking reference to book,  sticking photo onto board,  nail sticking out,  sticking needle into finger,  poke into,  sticking photo onto,  protrude,  sticking ticket,  lettering sticking out,  sticking hand out
catch	1	catching in traffic,  catching rain water,  catching rainwater,  catching ball
catch	2	student copying in exam,  catching child,  discover in the act,  catching senator,  catching heart,  catching rabbit,  catching eating candy,  catching out student,  catching spirit,  catching shoplifting,  catching thief
catch	4	catching up with,  running to catching train,  catching up with friend,  catching train
catch	7	catching fire,  forest fires,  spread
catch	6	catching game,  watching baseball game,  attend an event,  attending event,  catching movie,  catching show
catch	9	hitting person,  punch catching in stomach,  punching person on face
line	1	people lining,  be in lining,  stand in a lining,  run along,  lining route,  sit in lining
line	2	checkmarks lining up,  form a lining,  lining up troops,  waiting in lining,  lining up on lining,  results lining up
line	4	sorrow lining face,  draw lining,  lining pencil
hold	1	holding extinguisher,  holding cookie,  beam holding up roof,  holding bowl,  nail holding picture,  holding out hand
hold	8	holding reception,  social event,  holding meeting,  meeting,  event,  holding social event
hold	9	holding ears,  hands over ears,  hands over nose,  holding nose
eat	1	eating bugs,  eating meat,  eating with hand,  eating for dinner,  eating food,  eating apple,  eating risotto,  eating out of hand,  eating pasta
eat	3	mouse eating into,  thing eating at brain,  corrosion,  acid eating surface,  corrode,  jobs eating into time,  erode rust,  eating away freedom,  eating away inside,  mouse eating into box,  rust eating into chrome,  erosion,  eating into
fly	1	move through air,  flying through fog,  pilot flying,  plane flying,  plane flying by,  flying kite,  flying plane,  to flying,  flying bird,  flying on,  nation flying flag,  float in air,  flying flag,  pilot flying contact,  flying flowers,  flying the Atlantic,  flying to city
fly	3	hit a baseball,  hit flying baseball,  flying to field baseball,  hit flying,  hit a ball
fly	2	flying off handle,  door open,  flying about,  hopping,  move quickly
pull	1	pulling oars,  man pulling cart,  pulling in money,  pulling together thoughts,  pulling weeds to hand,  pulling wagon,  pulling building down,  pulling rope,  dentist pulling teeth,  pulling at cuffs,  pulling trigger,  pulling teeth,  pulling off petals,  pulling down building,  pulling crowd,  pulling weeds,  pulling out gun,  pulling off cloths,  pulling down figures,  pulling back strong,  pulling knife,  people pulling rope,  pulling out rabbit,  pulling gun,  man pulling wagon
pull	2	pulling to right,  pulling together,  pulling the car,  train pulling in,  pulling ball,  pulling into station,  pulling over car,  cap pulling over,  pulling out of project,  car pulling,  pulling away from curb,  regiment pulling back,  pulling car to curb,  pulling up short,  call pulling up,  limo pulling away,  train pulling into station,  pulling up to curb,  pulling ahead
pull	6	tearing apart meat,  pulling apart bread,  tear chicken,  tearing with hand,  tear chicken strips
look	1	looking for phone,  looking at life,  examine,  looking up,  looking at moon,  looking into allegations,  looking out for pickpockets,  dog staring at cat,  looking out,  looking on,  looking up number,  looking on dictator,  regard,  looking on affair,  looking upon as best,  people looking at screen,  looking back on accomplishment,  looking for faults,  person looking at phone,  looking at woman,  looking for volunteers,  dog looking at cat
look	2	baby looking cute,  looking like clown,  looking serious,  car looking,  numbers looking fishy,  baby looking adorable,  looking like a clown,  car looking old,  looking devotion
ride	10	riding herd,  walk cattle,  drive horse,  drive cattle,  riding cattle
ride	1	riding horseback,  riding train,  riding truck,  riding car,  riding on donkey,  riding mare,  train riding,  riding motorcycle,  person riding a truck
ride	3	riding a wave,  surfer riding wave,  riding freeway,  riding the boat,  ship riding,  boat riding on wave
ride	2	riding to poverty,  riding to wedding,  Giving a Car Ride,  giving a riding,  riding to hospital
ride	7	moon riding high,  boats at anchor,  riding at anchor,  ship at anchor
ride	9	bull riding cow,  copulate with,  horse coulate with mare,  bull copulate with cow
pour	1	pouring oil,  pouring water,  pouring sugar,  pouring down wine,  pouring glass,  pouring sugar into bowl,  pouring into bowl,  pouring honey,  pouring wine,  pouring out wine,  pouring juice
pour	2	ash pouring,  sweat pouring down face,  car pouring out fumes,  bus pouring out fumes,  lava pouring,  water pouring over floor,  blood pouring from,  billowing smoke,  bleeding blood
pour	4	pouring rain,  pouring down rain,  rain heavily,  rain pouring down,  rain pouring,  pouring down,  rain pouring outside
drill	1	make a hole,  drilling out filling,  drilling hole in plank,  drilling hole,  make a hole drilling
drill	3	drilling ball into field,  hit forcefully,  drilling home run,  drilling guy,  hit ball,  player hitting ball,  hit ball field,  hit forcefully ball
display	1	exhibit,  displaying enthusiasm,  displaying photograph,  show in public,  displaying piece museum,  smirk displaying character,  smirk displaying contempt,  displaying intellect,  displaying humor,  peacock displaying feathers,  displaying contempt,  smirk displaying teeth,  exhibit piece museum,  museum displaying pieces,  exhibit museum,  show smirk,  displaying photographs,  displaying emotion,  roses displaying hardiness,  roses displaying adaptability,  displaying smirk,  express in public
display	2	show graphics,  show data,  monitor displaying image,  show messages,  iPod displaying icon,  digital displaying boards,  phone displaying image
fill	1	filling container,  pool filling with water,  filling hole with dirt,  filling water,  liquid filling container,  filling beaker with water,  theatre filling up,  filling pool
fill	4	filling in blanks,  filling in name,  people filling forms,  filling out form,  filling out questionnaire
fill	7	body filling out,  become larger,  filling out contours,  become more substantial
fill	6	drawing colors kids,  filling in page,  filling in colors
sit	1	sitting next to,  person sitting on chair,  sitting,  sitting back in chair,  sitting up straight,  sitting down,  be seated,  sitting on shore,  dog sitting,  sitting at table,  dog sitting down
sit	2	pizza sitting on table,  encyclopedia sitting on shelf,  book sitting on shelf,  occupy a particular location,  villages sitting at valley,  coat sitting well
sit	7	baby-sit children,  sitting kids,  sitting her kids,  babysitter,  sitting babies
sit	6	ride animal,  sitting horse,  ride horse,  ride a horse,  ride an animal,  sitting on horse
perform	1	children test school,  performing at wedding,  execute action,  wedding performers,  performing feat,  children reading,  underperform at reading,  performing wedding ceremony,  execute deed,  performing duties
perform	2	performing role,  performing play,  performing symphony,  performing art,  re-enact
cross	1	person crossing road,  crossing road,  crossing the bridge,  horses crossing,  crossing bridge,  trees crossing stream,  crossing stream
cross	2	crossing path,  fate crossing path,  crossing ts,  intersect,  crossing in hallway,  routes crossing,  crossing paths
cross	4	crossing legs,  crossing arms,  crossing fingers
cross	6	praying,  crossing himself,  crossing my heart
write	1	writing a book,  writing symphony,  person writing a letter,  writing novel,  writing piece,  writing on paper,  writing letter,  writing memo,  writing copy,  writing email
write	3	writing on disk,  writing disk,  store on computer,  writing on computer,  saving to flash drive
write	2	writing in code,  writing with alphabet,  writing down number,  erase,  writing name,  writing marks,  read handwritting,  writing character on paper,  writing chinese characters
write	4	writing code,  software engineer coding,  create code,  create computer program,  writing lines,  programmers code computer,  computer programming,  writing procedure
write	7	voting in ballet box,  voters writing in candidate
write	8	writing up contract,  writing out ticket,  writing a ticket,  person filling a form,  writing out check,  fill in a form
mix	1	mixing business and pleasure,  mixing pride and problems,  mixing food and tv,  oil and water mixing,  mixing water,  mixing flour in bowl,  mixing in nuts,  mixing ingredients,  mixing soundtrack,  mixing drinks,  combine qualities,  blend ingredients,  combine activities,  combine things,  mixing alcohol and medication,  mixing oil,  mixing brown and gold,  mixing cement,  mixing joy and worry,  mixing by hand,  fix flour and fruit
mix	2	card shuffling,  mixing up twins,  assemble without order,  mixing cards,  mixing up words,  mixing me up,  mixing up dates
tie	1	tying bow,  tying to past,  tying to desk,  tying up boat,  tying boat,  tying hands,  tying flies,  tying laces,  tying knot,  tying to operating system,  tying up newspapers,  tying down sail,  tying prisoners,  tying up traffic
tie	5	person drunk at party,  drink,  getting drunk,  getting wasted,  drunk party,  get drunk,  drunk person
tie	4	person shouting at others,  two people arguing,  attack,  animals attack
chase	1	policeman chasing,  person chasing,  chasing,  chasing storml,  dog chasing person
chase	3	chasing out women,  chasing away cold,  children chasing,  cause to go away,  chasing away pigeons,  chasing out children,  chasing away animals,  chasing away blues,  drive away,  chasing away children
chase	4	chasing silver,  cut furrows,  chasing metal for jewelry,  cut grooves
stir	1	children run around,  wind fly skirt,  hurricane,  stirring skirt,  child stirring
stir	3	stirring coffee,  move in circular motion,  stirring into batter,  stirring paint,  stirring tea,  stirring with spoon,  stirring with br
draw	1	pull,  pull child close,  pull shades,  person drawing wagon,  ox drawing plough,  ox pull grist,  pull wagon,  pull glove
draw	9	drawing chicken,  cut up chicken,  disembowel,  pull apart chicken meat,  pull apart
draw	5	running Hand through hair,  drawing wire,  pull hair,  drawing hair through fingers,  drawing glass
draw	4	night drawing down,  train pulling into station,  drawing back in horror,  horse drawing away,  drawing up on deck,  ship drawing to shore,  drawing close to person,  days drawing to close,  drawing towards shore
draw	6	drawing up will,  drawing pictures,  someone drawing,  create pictures,  drawing up blueprint,  drawing lines,  drawing plan,  drawing up deed
drink	1	drinking lemonade,  person drinking juice,  drinking milk,  roses drinking water,  drinking juice,  drinking water
drink	2	drinking alcohol,  drinking beer,  drinking whiskey,  drin wine,  drinking smoke,  excessive alcohol intake
drink	4	toast,  drinking to that,  drinking to happiness,  wedding toast,  drinking toast,  dinner party toast
hang	1	gallery hanging paintings,  curtain hanging,  hanging wallpaper,  door hanging,  necklace hanging around neck,  hanging coat,  hanging decorations on tree,  hanging picture,  hair hanging,  picture hanging,  pheasant hanging,  hanging decorations
hang	3	branch hanging with snow,  hanging head,  bend head downwards,  droop head,  bend downwards
hang	2	rope around neck,  hanging woman,  hanging person,  person being hanging,  hanging with sheet,  hanging witchcraft,  woman hanging
hang	4	fog hanging over valley,  uncertainty hanging over project,  jury hanging,  future hanging in balance,  worry hanging over life,  time hanging
hang	7	hanging out,  spend time with family,  hanging out with friends,  hanging out at cafe,  hanging out cafe,  hanging around bars,  hanging out with friend,  spend time with friends
lay	1	laying head against window,  laying rumor to rest,  laying head,  laying baby in cradle,  laying watch,  laying hands on,  laying baby,  laying watch to ear
lay	3	goose laying eggs,  hens laying eggs,  hen laying eggs,  laying eggs,  deposit as eggs
lay	2	laying trap,  laying fire,  laying brick,  laying foundation,  laying track,  laying trail,  laying plan,  laying plans
light	1	illuminate,  volcano lit up sky,  brighter lighting,  lamp lighting,  child face lighting up,  torch lighting,  sky lighting
light	2	ignite,  lighting fire with stick,  begin to smoke,  lighting coal,  coal lighting,  barbecue coal fire,  lighting up cigarette,  barbeque coal burning,  lighting fire,  lighting cigarette,  striking match fire
light	6	lighting up outside,  lighting cigar,  smoking cigar,  people lighting cigarettes,  lighting up cigarette,  start smoking cigarettes,  lighting up cigar,  lighting cigarette,  smoking cigarettes
gather	1	gathering wood,  gathering laundry,  gathering child,  gathering fabric
gather	3	accumulate,  dust gathering,  clouds gathering,  car speed,  dark storm clouds
gather	2	gathering at bar,  congregate together socially,  public gathering,  heads gathering,  gathering around water cooler,  social gathering
gather	5	draw and bring closer,  gathering shawl
cover	1	covering head,  covering child,  covering with blanket,  grass covering grave,  covering meat with cheese,  covering in,  covering with glory,  shadow covering water,  surface covering by water,  characters covering in mystery,  covering child with blanket,  bandages covering in blood
cover	3	officer covering floor,  provide covering,  soldier guarding people,  protect partner,  military troops covering field,  protect guard
cover	6	stallion covering mare,  mating,  stallion mating mare
drive	1	driving truck,  driving car,  driving across country,  travel vehicle,  driving around in truck,  driving around corner,  driving around
drive	2	dog driving in cattle,  production driving economy,  consumption driving economy,  driving mad,  passion driving,  driving out bird,  driving back army,  driving prices higher,  driving up prices,  innovation driving business,  driving away demonstrators,  driving off bird,  driving prices lower,  driving into sea
drive	5	driving stake,  driving tunnel through mountain,  driving in screw,  driving into tunnel,  driving through bedrock
drive	4	driving golfball,  strike a golf ball,  driving ball into field,  strike a ball,  boxer left punch,  driving into field
drive	7	hunting bear,  driving forest,  people hunting animals,  hunting,  search for game hunting
drive	6	steam power,  machine electricity,  electricity powered,  steam powered
clean	1	cleaning teeth,  person cleaning house,  cleaning wound,  cleaning house,  dentist cleaning teeth,  cleaning rug,  cleaning fingernails
clean	3	gambling,  losing in gambling,  losing at poker table
clean	2	cleaning pantry,  cleaning trees,  empty food,  cleaning platter,  empty plate of food
clean	4	remove feathers,  remove shells,  remove pits,  remove skin,  remove husks,  cleaning rice,  cleaning grain,  cleaning fish,  cleaning turkey
push	1	pushing against wall,  person pushing table,  pushing table into corner,  pushing body to limits,  person pushing cart,  person pushing something
push	3	pushing perfume,  salesman selling to couple,  pushing drugs,  pushing model,  pushing computer
push	5	pushing during labour,  woman pushing hard birth,  pushing birth,  woman giving birth
push	6.2	tooth pushing through gums,  volcano eruption,  hair pushing out hat,  erupt,  tooth pushing through gum
push	6.1	pushing away,  pushing down,  pushing wall,  person pushing another,  pushing up on hatch,  person pushing a person
push	6.3	pushing on to house,  pushing the crowd,  pushing forward to front
talk	1	talking of old days,  talking shop,  computer talking back,  talking turkey,  talking to each other,  talking about details,  converse,  talking back,  talking on phone,  baby talking,  talking over issue,  talking,  talking about book,  baby starts talking,  talking about information,  two people speaking,  people talking,  have conversation,  children talking,  talking to firms
talk	3	lecture audience,  talking at symposium,  lecture to audience
